name_first,name_last,uuid,patent_id,inventor_id,#patents
Jeffrey,Ackerman,34svpsthcj2fyjt0czcamn1dx,6363217,6363217-2,1
Frank,Adams,afpo4yh2t92qqo45hg0l44i7y,6269900,6269900-1,5
Frank,Adams,enkuyyihgsfmqnsfod8yy5gkr,6654391,5226051-3,5
Frank,Adams,n27qp3y9omhzpvl7fawzn89te,D594448,D594448-1,5
Frank,Adams,qpcx5xp3etltj37pjmx4vasg9,4412795,4412795-1,5
Frank,Adams,rw2cdcwgyjc2ek8j04tb3feq6,5226051,5226051-3,5
Roger R.,Adams,15e94jvi3872qumaxpr646103,8801002,6406038-1,22
Roger R.,Adams,3in07qoxxwjeqqkd2lrx146ku,7610972,6406038-1,22
Roger R.,Adams,7od3tlggf3rm7vlukyd0x9x0i,7165773,6406038-1,22
Roger R.,Adams,7scz9aqq5zouqk4en9zataaji,8544854,6406038-1,22
Roger R.,Adams,afcww0aaak4a9qntkgpy5uyej,7063336,6406038-1,22
Roger R.,Adams,g2iqaa2duzx04nx8noacglphu,8882114,6406038-1,22
Roger R.,Adams,h9x1sau9sena99898jyciiib1,7621540,6406038-1,22
Roger R.,Adams,iuczgzg88q8gi4jy35hnoji9b,9901809,6406038-1,22
Roger R.,Adams,jblggmvaykoxiko6cnfuirwwe,6739602,6406038-1,22
Roger R.,Adams,kl7e7f4a6rejarnf1pmsn9m31,8641054,6406038-1,22
Roger R.,Adams,m08w6oec8zmt7zbyqtugh9fjp,9242169,6406038-1,22
Roger R.,Adams,nzzz478cw6kdkwp3amltr4918,8690165,6406038-1,22
Roger R.,Adams,o2ye7aorf2slwcgh852ik0p44,6979003,6406038-1,22
Roger R.,Adams,o5b2m7dngq9g7jthad03mf53o,9492732,6406038-1,22
Roger R.,Adams,p87eml1acvvpr5wu2cfsvp1aj,8480095,6406038-1,22
Roger R.,Adams,q4dasiscpmta7stw19dme8tdy,6746026,6406038-1,22
Roger R.,Adams,sc3ok8ukxs8vjtm52p4yhbmp5,6406038,6406038-1,22
Roger R.,Adams,t14ph4tzk9yycmf0erlni7wyc,6698769,6406038-1,22
Roger R.,Adams,t28bsfd3oh1h53j5ox8ze1v08,7165774,6406038-1,22
Roger R.,Adams,t63erfl5mna9tkuyzg1nmg5l3,7032330,6406038-1,22
Roger R.,Adams,x43rq2ij3jmswxkoyv2h7oq7i,6450509,6406038-1,22
Roger R.,Adams,znwdo5py3pggubbvapc242lul,9776067,6406038-1,22
Michael,Ahearn,7gr4f7798dknwx2h8kllsznmp,8344340,8003964-4,10
Michael,Ahearn,kpgrvrh5r5b5yjz1731w05z8j,8916843,8003964-4,10
Michael,Ahearn,ravr4pqgey7p15hokr3o2sq7o,8907311,8003964-4,10
Michael,Ahearn,usv91uqok1qqtbvw77zjlrkrp,8402712,5926463-1,10
Michael J.,Ahearn,2o4ivot3t0ikaqj0jrlgyxwop,5926463,5926463-1,10
Michael J.,Ahearn,3usnapo4imcm1abft87nz8kta,9452301,8003964-4,10
Michael J.,Ahearn,799xj4av2xqcn7rn20i05ewdr,8941083,8003964-4,10
Michael J.,Ahearn,9h15059sps52vg9z1u7ow9yfo,8003964,8003964-4,10
Michael J.,Ahearn,oexpb0lqtiewnm3p1x5jkgijo,9925395,8003964-4,10
Michael J.,Ahearn,p0xmzqerr1apz2ihirnxtplkl,5460305,5460305-1,10
Peter,Alexander,01dk5dc7aeznly44n4jrpelqu,9383047,9383047-1,8
Peter,Alexander,f4mvss0tuchkxmj4m5awl6nmn,5122803,5122803-2,8
Peter,Alexander,hpp1dvmfwdgft5tzmqbov5xp6,9456401,4518463-1,8
Peter,Alexander,ixkhlmgxzf9n8d2mq3fwpmqxn,9838890,4518463-1,8
Peter,Alexander,naub1b6jlvrt8draa7929m5hq,7761798,4518463-1,8
Peter,Alexander,rfe9pvs4rmmdqstpo4bjz3tmk,9819735,4518463-1,8
Peter,Alexander,s6y8lezmsbrjxmwsjnsb5kw2f,9237506,4518463-1,8
Peter,Alexander,4p6m1iliabs95dv76g71nd52i,10179111,10179111-2,8
Edward J.,Arcuri,h03xw32dybny4zywcir70nih6,4413058,4413058-1,2
Edward J.,Arcuri,m1klw4b3qckjayxuzu5kbh8mx,5223418,4413058-1,2
Paul,Arnold,09i3g0bu6lzut43gxpyhpvonc,D515856,D465936-1,14
Paul,Arnold,0jcs5cs3cb9t0o5k8t9ug9c3n,D466318,D465936-1,14
Paul,Arnold,0vb08ofncvum6lnv5vwbxq1el,9945813,4307323-2,14
Paul,Arnold,10tohek8z90tauiviar8tcmtv,D465952,D465936-1,14
Paul,Arnold,69i64gwdovef9wrfgd5l1ay29,6607638,5245897-1,14
Paul,Arnold,7j2zkn60qgr8c2pfrfpte6z0f,D465936,D465936-1,14
Paul,Arnold,8ktd407zb0j8blaik9oq40s6i,7607691,7607691-1,14
Paul,Arnold,9od9l68eb94yrbut2z1p6fujq,8588781,4307323-2,14
Paul,Arnold,ae9nu47upl7nl2l8oeey2bkwy,D466729,D465936-1,14
Paul,Arnold,cet1cacv2n5ajuu5vizvtk0qh,8074775,4307323-2,14
Paul,Arnold,ma33d7uwhzzvks0ydt295l156,7686922,5245897-1,14
Paul,Arnold,r1rzki6d9drj9b0byufesse22,9192649,7368264-1,14
Paul,Arnold,tx3s6qyijslssdyotbokps8ou,6585855,5245897-1,14
Paul,Arnold,yyb76zj1otlgprqm57rsjmgxx,9585031,4307323-2,14
Peter J.,Astrauskas,34ayajprzw81c4ev3h3tuihhb,5207176,5207176-2,4
Peter J.,Astrauskas,4z77wfu8ac36c9qkzwheifr1a,6554928,3953582-1,4
Peter J.,Astrauskas,srauosgrrls4o3khx1ww9gn9d,6641622,3953582-1,4
Peter J.,Astrauskas,vxppcytfaostx0vhraj7hmks3,6481747,3953582-1,4
John,Backus,9t90zbl4p3hoi4c2ktrebm3fk,7267950,5559013-1,1
Bradley,Barber,3jadz88iginc2bhvgosnmd82e,8143105,5995688-2,5
Bradley,Barber,aefbl184e9d9fys6psnkkr7qa,7544612,5995688-2,5
Bradley,Barber,bgnhpcunczd4ezrt3cbdenf6c,7414350,5995688-2,5
Bradley,Barber,iepc8h9fhwxf22lvtgwo735ax,7535323,5995688-2,5
Bradley,Barber,sisp240q524cccnd1j3i58kf8,7557430,5995688-2,5
James,Barber,9usuf0s5pybi5i9mee97n0vb4,8676361,5178333-2,24
James,Barber,f2zpjl6hirsxd41m6z3fumf6n,5178333,5178333-2,24
James,Barber,hualp5am89tzx04e6le2w3ubu,6148183,5178333-2,24
James,Barber,nl957v5dg8x4xzeq071gmfo7e,D665764,D665764-3,24
James,Barber,pdn7b7bk43p2h85y2x5037t5j,5242120,5178333-2,24
James,Barber,s9punh4is0thnx8f7hv75cw5a,6659315,6659315-2,24
James J.,Barber,01kobhjuyyjwzzlnrqad3m1xy,5611964,4461681-1,24
James J.,Barber,4bahbxkz9zk132w73av9zs3oh,6933404,4461681-1,24
James J.,Barber,50mx7a2vkc5p4bxhmdqqmlq10,6403696,4461681-1,24
James J.,Barber,6991ni1ab0q9sumcizvnm1aay,5165909,4461681-1,24
James J.,Barber,aai4081rweulpoclefrv2lc3q,4517062,4461681-1,24
James J.,Barber,b02ujbln9qbjrlb2kj968w8m1,6464908,4461681-1,24
James J.,Barber,cng3s5pllp4p4torwhoqgwarv,5877110,4461681-1,24
James J.,Barber,d3dab8l432bvg6m4hihe8bjri,4461681,4461681-1,24
James J.,Barber,dnk1qjli83jb0vuk1npkoyadl,5650370,4461681-1,24
James J.,Barber,emls8dmr910sxb1dcqdzqfg5q,4834858,4461681-1,24
James J.,Barber,etv555z5cy2cttwyyaltqr5ks,5589152,4461681-1,24
James J.,Barber,i4v0z4epu3cmom3oes891gwal,6844447,4461681-1,24
James J.,Barber,nm3lqwicq3deainujh25w1sra,6235674,4461681-1,24
James J.,Barber,p5gnefwfcwy2e1ze3olbndr8x,7001969,4461681-1,24
James J.,Barber,qtjhfvll00u2b2knz60sbulfv,5707916,4461681-1,24
James J.,Barber,udvw5dsg857a1luilv02xb2pi,5578543,4461681-1,24
James J.,Barber,utsr1n8qjws853wgo5qmlpp8o,7230144,4461681-1,24
James J.,Barber,we4dit5l1v7ib29vwctqbviym,4523980,4461681-1,24
James,Barbookles,doeb326h0h8yxnktsd1zrb6rp,5198093,5108578-9,3
James,Barbookles,jtr55r9ie4gr4icuf9ufj6y7n,6793787,5108578-9,3
James,Barbookles,yazyovfp41ainaljt1rbet95b,5108578,5108578-9,3
Bruce G.,Barman,05dhbhd4tb5t23j37mh8n1zh9,6128798,6023803-1,11
Bruce G.,Barman,3hxsgvtjkvyafoa92y30d7cxp,7185379,6023803-1,11
Bruce G.,Barman,557ns21jv7n60dwr26jx7i6uj,6023803,6023803-1,11
Bruce G.,Barman,joheciyif7wd5pezxx5c2rdgi,D488661,6023803-1,11
Bruce G.,Barman,m4b2i54y7b50fto46g0jms2bl,6406009,6023803-1,11
