2016,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm0114949,Adam Browne,,,"line producer (6 episodes, 2016)",male,[]
2016,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm1256259,Jack Williams,,,"executive producer (12 episodes, 2016-2019)",male,[]
2016,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm2337298,Hsinyi Liu,,,"line producer / development line producer (12 episodes, 2016-2019)",unknown,[]
2016,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm3564817,Phoebe Waller-Bridge,,"(created by) (12 episodes, 2016-2019)","executive producer (12 episodes, 2016-2019)",female,[]
2016,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm1469191,Tim Kirkby,"(1 episode, 2016)",,,male,[]
2016,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm1640789,Harry Williams,,,"executive producer (12 episodes, 2016-2019)",male,[]
2016,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm3357965,Lydia Hampson,,,"executive producer / producer (12 episodes, 2016-2019)",female,[]
2016,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm1622322,Chris Sussman,,,"Commissioning Editor (6 episodes, 2016)",mostly_male,[]
2016,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm0102873,Harry Bradbeer,"(12 episodes, 2016-2019)",,,male,[]
2017,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm1256259,Jack Williams,,,"executive producer (12 episodes, 2016-2019)",male,[]
2017,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm2337298,Hsinyi Liu,,,"line producer / development line producer (12 episodes, 2016-2019)",unknown,[]
2017,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm3564817,Phoebe Waller-Bridge,,"(created by) (12 episodes, 2016-2019)","executive producer (12 episodes, 2016-2019)",female,[]
2017,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm1640789,Harry Williams,,,"executive producer (12 episodes, 2016-2019)",male,[]
2017,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm3357965,Lydia Hampson,,,"executive producer / producer (12 episodes, 2016-2019)",female,[]
2017,tt5687612,Fleabag,(2016–2019),"
Comedy, Drama            ",11,0,nm0102873,Harry Bradbeer,"(12 episodes, 2016-2019)",,,male,[]
