2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm10642499,Ike Holter,,"(1 episode, 2019)",,andy,[]
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm0005377,Sam Rockwell,,,"executive producer (8 episodes, 2019)",mostly_male,"['Nom. Outstanding Limited Series 2019', 'Nom. Outstanding Lead Actor in a Limited Series or Movie 2019']"
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm1263223,Debora Cahn,,"(1 episode, 2019)","consulting producer (8 episodes, 2019)",female,[]
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm0276278,Joel Fields,,"(2 episodes, 2019)","executive producer (8 episodes, 2019)",male,"['Nom. Outstanding Limited Series 2019', 'Nom. Outstanding Writing for a Limited Series, Movie or a Dramatic Special 2019']"
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm1477859,Andy Blankenbuehler,,,"co-producer (8 episodes, 2019)",male,[]
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm0592135,Lin-Manuel Miranda,,,"executive producer (8 episodes, 2019)",unknown,['Nom. Outstanding Limited Series 2019']
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm5885049,Tracey Scott Wilson,,"(1 episode, 2019)","co-executive producer (8 episodes, 2019)",mostly_female,['Nom. Outstanding Limited Series 2019']
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm3082713,Kate Sullivan,,,"producer (8 episodes, 2019)",female,['Nom. Outstanding Limited Series 2019']
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm1982988,Kevin Muller,,,"associate producer (8 episodes, 2019)",male,[]
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm0002835,Adam Bernstein,"(1 episode, 2019)",,,male,[]
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm0287627,Nicole Fosse,,,"co-executive producer (8 episodes, 2019)",female,['Nom. Outstanding Limited Series 2019']
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm0443040,Erica Kay,,,"producer (8 episodes, 2019)",female,['Nom. Outstanding Limited Series 2019']
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm3105180,Charlotte Stoudt,,"(1 episode, 2019)","co-executive producer (8 episodes, 2019)",female,['Nom. Outstanding Limited Series 2019']
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm0826423,George Stelzner,,,"executive producer (8 episodes, 2019)",male,['Nom. Outstanding Limited Series 2019']
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm0819083,Minkie Spiro,"(1 episode, 2019)",,,unknown,[]
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm0139283,Brad Carpenter,,,"producer (8 episodes, 2019)",male,['Nom. Outstanding Limited Series 2019']
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm2371802,Thomas Kail,"(5 episodes, 2019)","(developed for television by) (8 episodes, 2019)","executive producer (8 episodes, 2019)",male,"['Nom. Outstanding Limited Series 2019', 'Nom. Outstanding Directing for a Limited Series, Movie or a Dramatic Special 2019']"
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm4697007,Steven Levenson,,"(developed for television by) (8 episodes, 2019)","executive producer (8 episodes, 2019)",male,"['Nom. Outstanding Limited Series 2019', 'Nom. Outstanding Writing for a Limited Series, Movie or a Dramatic Special 2019']"
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm6191578,Sam Wasson,,"(8 episodes, 2019)",,mostly_male,[]
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm0931329,Michelle Williams,,,"executive producer (8 episodes, 2019)",female,"['Nom. Outstanding Limited Series 2019', 'Nom. Outstanding Lead Actress in a Limited Series or Movie 2019']"
2019,tt8746478,Fosse/Verdon,(2019),"
Biography, Drama, Music            ",17,0,nm0950506,Jessica Yu,"(1 episode, 2019)",,,female,"['Nom. Outstanding Directing for a Limited Series, Movie or a Dramatic Special 2019']"
