1994,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1158766,Lou Del Prete,"(1 episode, 1994)",,"producer (1 episode, 1994)",mostly_male,[]
1994,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,[]
1994,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1633282,Bob Chesterman,,,"associate producer (1 episode, 1994)",male,[]
1995,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0438210,Caroline Kaplan,,,"series producer (2 episodes, 1995)",female,[]
1995,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm3573132,Gina Angelone,,,"producer (12 episodes, 1995)",female,[]
1995,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,[]
1995,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0467370,Michael Kostel,,,"producer (96 episodes, 1995-2004)",male,[]
1996,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,[]
1996,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0467370,Michael Kostel,,,"producer (96 episodes, 1995-2004)",male,[]
1996,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0943433,Jeff Wurtz,"(17 episodes, 1996-2014)",,,male,[]
1997,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,['Nom. Outstanding Informational Series 1997']
1997,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0467370,Michael Kostel,,,"producer (96 episodes, 1995-2004)",male,['Nom. Outstanding Informational Series 1997']
1997,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0943433,Jeff Wurtz,"(17 episodes, 1996-2014)",,,male,['Nom. Outstanding Informational Series 1997']
1998,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1737331,Eileen Lanci,,,"associate producer / producer (5 episodes, 1998-2001)",female,[]
1998,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,['Nom. Outstanding Non-Fiction Series 1998']
1998,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0467370,Michael Kostel,,,"producer (96 episodes, 1995-2004)",male,['Nom. Outstanding Non-Fiction Series 1998']
1998,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0826013,Vienna Steiner,,,"executive producer (17 episodes, 1998)",female,['Nom. Outstanding Non-Fiction Series 1998']
1998,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0943433,Jeff Wurtz,"(17 episodes, 1996-2014)",,,male,['Nom. Outstanding Non-Fiction Series 1998']
1998,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1372022,John Servidio,,,"producer (8 episodes, 1998-2004)",male,['Nom. Outstanding Non-Fiction Series 1998']
1999,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1737331,Eileen Lanci,,,"associate producer / producer (5 episodes, 1998-2001)",female,['Nom. Outstanding Non-Fiction Series 1999']
1999,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm5761277,Toni Santoli,,,"associate producer (1 episode, 1999)",male,[]
1999,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,['Nom. Outstanding Non-Fiction Series 1999']
1999,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0467370,Michael Kostel,,,"producer (96 episodes, 1995-2004)",male,['Nom. Outstanding Non-Fiction Series 1999']
1999,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0943433,Jeff Wurtz,"(17 episodes, 1996-2014)",,,male,['Nom. Outstanding Non-Fiction Series 1999']
1999,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1372022,John Servidio,,,"producer (8 episodes, 1998-2004)",male,['Nom. Outstanding Non-Fiction Series 1999']
2000,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1737331,Eileen Lanci,,,"associate producer / producer (5 episodes, 1998-2001)",female,[]
2000,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0797310,Alice Siess,,,"associate producer / producer (75 episodes, 2000-2005)",female,[]
2000,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,['Nom. Outstanding Non-Fiction Series 2000']
2000,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0467370,Michael Kostel,,,"producer (96 episodes, 1995-2004)",male,['Nom. Outstanding Non-Fiction Series 2000']
2000,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0943433,Jeff Wurtz,"(17 episodes, 1996-2014)",,,male,['Nom. Outstanding Non-Fiction Series 2000']
2000,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1372022,John Servidio,,,"producer (8 episodes, 1998-2004)",male,['Nom. Outstanding Non-Fiction Series 2000']
2001,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1737331,Eileen Lanci,,,"associate producer / producer (5 episodes, 1998-2001)",female,[]
2001,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0797310,Alice Siess,,,"associate producer / producer (75 episodes, 2000-2005)",female,[]
2001,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,['Nom. Outstanding Non-Fiction Series 2001']
2001,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0467370,Michael Kostel,,,"producer (96 episodes, 1995-2004)",male,['Nom. Outstanding Non-Fiction Series 2001']
2001,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0943433,Jeff Wurtz,"(17 episodes, 1996-2014)",,,male,['Nom. Outstanding Non-Fiction Series 2001']
2001,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1372022,John Servidio,,,"producer (8 episodes, 1998-2004)",male,['Nom. Outstanding Non-Fiction Series 2001']
2002,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0797310,Alice Siess,,,"associate producer / producer (75 episodes, 2000-2005)",female,[]
2002,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,"['Nom. Outstanding Non-Fiction Special (Informational) 2002', 'Nom. Outstanding Non-Fiction Series (Informational) 2002']"
2002,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0467370,Michael Kostel,,,"producer (96 episodes, 1995-2004)",male,"['Nom. Outstanding Non-Fiction Special (Informational) 2002', 'Nom. Outstanding Non-Fiction Series (Informational) 2002']"
2002,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0943433,Jeff Wurtz,"(17 episodes, 1996-2014)",,,male,"['Nom. Outstanding Non-Fiction Special (Informational) 2002', 'Nom. Outstanding Non-Fiction Series (Informational) 2002']"
2002,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1372022,John Servidio,,,"producer (8 episodes, 1998-2004)",male,"['Nom. Outstanding Non-Fiction Special (Informational) 2002', 'Nom. Outstanding Non-Fiction Series (Informational) 2002']"
